Abdominal Aortic Aneurysm,181
Abdominal Aortic Branch Occlusion,0
Abetalipoproteinemia,1
Abnormal Cervical Mucus,0
ABO Hemolytic Disease of the Newborn,0
ABO Transfusion Reaction,0
Abruptio Placentae,0
Acanthosis Nigricans,83
Acetaminophen Poisoning,0
Achalasia,51
Achilles Tendinitis,1
Achilles Tendon Bursitis Anterior,0
Achilles Tendon Bursitis Posterior,0
Achilles Tendon Enthesopathy,0
Acinetobacter Infections,0
Acne Vulgaris,0
Acoustic Neuroma,9
Acquired Copper Deficiency,0
Acquired Platelet Dysfunction,0
Acrocyanosis,0
Acromegaly,8
Actinomycosis,0
Acute Bacterial Conjunctivitis,0
Acute Bacterial Meningitis,0
Acute Bronchitis,14
Acute Cholecystitis,1
Acute Coronary Syndromes,1
Acute Eosinophilic Pneumonia,0
Acute Febrile Neutrophilic Dermatosis,0
Acute Gastrointestinal Perforation,0
Acute Hypoxemic Respiratory Failure,0
Acute Infectious Arthritis,0
Acute Intermittent Porphyria,0
Acute Interstitial Pneumonia,0
Acute Liver Failure,5
Acute Lung Injury,6
Acute Lymphoblastic Leukemia,1
Acute Lymphocytic Leukimia,0
Acute Mesenteric Ischemia,0
Acute Necrotizing Ulcerative Gingivitis,0
Acute Otitis Media,0
Acute Pancreatitis,10
Acute Porphyrias,0
Acute Promyelocytic Leukemia,0
Acute Renal Failure,3
Acute Respiratory Distress Syndrome,6
Acute Sinusitis,3
Acute Stress Disorder,0
Acute Stress Reaction,1
Acute Transverse Myelitis,0
Acute Tubular Necrosis,2
Acute Viral Hepatitis,1
Acyltransferase Deficiency,0
Addiction,287
Addisons Disease,6
Adjustment Disorder,1
Adjustment Sleep Disorder,0
Adnexal Torsion,0
Adrenal Cortical Hyperfunction,0
Adrenal Cortical Hypofunction,0
Adrenal Virilism,0
Adult Inclusion Conjunctivitis,0
African Trypanosomiasis,1
Age Related Macular Degeneration,0
Agnosia,0
Agoraphobia,8
AIDS Dementia Complex,0
AIDS,324
Airway Tumors,0
Albinism,0
Alcohol Dependence,4
Alcohol Intoxication,3
Alcohol Withdrawal,10
Alcoholic Ketoacidosis,0
Alcoholic Liver Disease,27
Alcoholism,53
Allergic Bronchopulmonary Aspergillosis,0
Allergic Conjunctivitis,1
Allergic Rhinitis,21
Alopecia,23
Alpha Antitripsin Deficiency,0
Altitude Sickness,7
Alzheimers Disease,1
Amblyopia,0
Amebiasis,2
Amebic Keratitis,0
Amenorrhea,33
Amnesia,4
Amniotic Fluid Embolism,10
Amphetamine Abuse,0
Amphetamine Dependence,0
Amphetamine Intoxication,0
Amphetamine Withdrawal,0
Amyloidosis,23
Amyotrophic Lateral Sclerosis,0
Anaemia of Chronic Disease,0
Anaemia,21
Anal Atresia,0
Anal Cancer,0
Anal Fissure,20
Anaphylactic Reaction,13
Anencephaly,2
Angina Pectoris,56
Angina,799
Angiostrongyliasis,0
Angle Closure Glaucoma,2
Anisakiasis,0
Ankle Sprains,2
Ankylosing Spondylitis,8
Ankylosis of The Temporomandibular Joint,0
Anorectal Abscess,0
Anorectal Cancer,0
Anorectal Fistula,0
Anorexia Nervosa,57
Anosmia,2
Anovulatory Infertility,0
Anterior Achilles Tendon Bursitis,0
Anthrax,0
Antiphospholipid Antibody Syndrome,5
Antisocial Personality Disorder,0
Antithrombin III Deficiency,2
Anxiety Disorder,232
Anxiety,3985
Anxiolytic Dependence,0
Aortic Dissection,79
Aortic Regurgitation,39
Aortic Stenosis,156
Aortitis,0
Aphasia,12
Aplastic Anemia,1
Apnea of Prematurity,1
Appendicitis,30
Apraxia,1
Arterial Gas Embolism,1
Arthritis of The Temporomandibular Joint,0
Arthrogryposis Multiplex Congenita,0
Asbestosis,2
Ascariasis,1
Ascites,47
Aseptic Meningitis,0
Aspergers Syndrome,6
Aspergillosis,0
Aspiration Pneumonia,13
Aspirin Poisoning,1
Asthma,939
Astrocytoma,0
Ataxia Telangiectasia,1
Atelectasis,20
Atherosclerosis,593
Athetosis,0
Athletic Heart Syndrome,1
Atlantoaxial Subluxation,0
Atopic Dermatitis (Eczema),0
Atrial Fibrillation,1122
Atrial Flutter,158
Atrial Myxoma,5
Atrial Septal Defect,88
Atrioventricular Block,14
Atrioventricular Septal Defect,15
Attention Deficit Hyperactivity Disorder,3
Autism,21
Autoerythrocyte Sensitization,0
Autoimmune Hemolytic Anemia,0
Autoimmune Metaplastic Atrophic Gastritis,0
Autonomic Neuropathy,20
Avascular Necrosis,5
Avian Influenza,0
Avoidant Personality Disorder,0
Avulsed Teeth,0
B Cell Lymphoma,0
Babesiosis,0
Bacillary Angiomatosis,0
Back Pain,730
Bacteremia,20
Bacterial Conjunctivitis,1
Bacterial Overgrowth Syndrome,1
Bacterial Peritonitis,0
Bacterial Tracheitis,0
Bacterial Urinary Tract Infections,0
Bacterial Vaginosis,2
Balanitis,2
Balanoposthitis,0
Bancroftian,0
Barotrauma,4
Bartholins Gland Cysts,0
Bartter Syndrome,0
Basal Cell Carcinoma,3
Becker Muscular Dystrophy (BMD),0
Behcets Syndrome,0
Bejel,0
Bells Palsy,3
Benign Esophageal Tumors,0
Benign Hypertensive Arteriolar Nephrosclerosis,0
Benign Ovarian Masses,0
Benign Paroxysmal Positional Vertigo,4
Benign Prostatic Hyperplasia,3
Benign Prostatic Hypertrophy,1
Benzodiazepine Withdrawal,2
Berylliosis,0
Beryllium Disease,0
Bezoars,0
Bile Duct Tumours,0
Biliary Atresia,0
Biliary Colic,7
Biliary Obstruction,2
Binge Eating Disorder,186
Biotin Deficiency,1
Bipolar Disorder,47
Black Widow Spider Bite,0
Bladder Cancer,12
Bladder Outlet Obstruction,1
Bladder Trauma,0
Blastomycosis,0
Blepharitis,2
Blepharospasm,0
Body Dysmorphic Disorder,12
Boils (Furuncles),0
Borderline Personality Disorder (BPD),2
Botulism,4
Boutonniere Deformity,0
Bowens Disease,0
Brachial Plexus Injuries,0
Brain Abscess,2
Brain Death,10
Breast Abscess,126
Breast Cancer,7721
Brief Psychotic Disorder,0
Brill Zinsser Disease,0
Bromhidrosis,0
Bronchial Carcinoid,0
Bronchiectasis,6
Bronchiolitis Obliterans Organizing Pneumonia,0
Bronchiolitis,4
Bronchitis,243
Bronchogenic Carcinoma,0
Bronchopulmonary Dysplasia,0
Bronchospasm,59
Brucellosis,0
Brugian Lymphatic Filariasis,0
Bruxism,22
Budd Chiari Syndrome,0
Bulimia Nervosa,25
Bullous Keratopathy,0
Bullous Pemphigoid,0
Bunion,6
Burkitts Lymphoma,0
Bursitis,49
Byssinosis,0
Cachexia,16
Caffeine Intoxication,2
Calcaneal Spur Syndrome,0
Calcium Pyrophosphate Dihydrate Crystal Deposition Disease (Pseudogout),0
Calluses,4
Campylobacter Infections,0
Candidal Vaginitis,0
Candidiasis,4
Cannabis Abuse,0
Cannabis Dependence,0
Cannabis Intoxication,0
Cannabis Withdrawal,0
Caput Succedaneum,0
Carbohydrate Intolerance,3
Carbon Monoxide Poisoning,5
Carcinoid Syndrome,9
Cardiac Arrest,586
Cardiac Tamponade,24
Cardiac Tumors,8
Caries,10
Carnitine Deficiency,3
Carotid Artery Dissection,10
Carpal Tunnel Syndrome,20
Cat Scratch Disease,6
Cataract,43
Caustic Ingestion,0
Cavernous Sinus Thrombosis,0
Celiac Sprue,4
Cellulitis,1527
Central Diabetes Insipidus,0
Central Retinal Artery Occlusion,1
Central Retinal Vein Occlusion,1
Central Sleep Apnea,76
Cephalhematoma,0
Cerebral Palsy Syndromes,0
Cerebrotendinous Xanthomatosis,0
Cerebrovascular Disease (stroke),0
Ceruloplasmin Deficiency,0
Cerumen Impaction,2
Cervical Cancer,31
Cervical Incompetence,0
Cervical Myomas,0
Cervical Polyps,0
Cervical Spondylosis,6
Cervical Stenosis,4
Chagas Disease,29
Chalazion,0
Chancroid,2
Changas Disease,0
Chediak Higashi Syndrome,0
Chest Wall Tumors,0
Chickenpox,15
Chigger Bite,0
Childhood Schizophrenia,0
Chlamydia,18
Chlamydial Infection,0
Chlamydial Pneumonia,0
Chloasma (Melasma),0
Cholecystitis,15
Choledocholithiasis,0
Cholelithiasis,6
Cholera,17
Cholestasis,3
Cholesterolosis,1
Cholesteryl Ester Storage Disease,0
Chorea,7
Chorioamnionitis,2
Chromium Deficiency,1
Chromium Toxicity,0
Chronic Blood Loss,0
Chronic Cholecystitis,0
Chronic Eosinophilic Pneumonia,0
Chronic Granulomatous Disease,0
Chronic Hepatitis,5
Chronic Infectious Arthritis,0
Chronic Leukemia,3
Chronic Lymphocytic Leukemia,1
Chronic Meningitis,0
Chronic Myelocytic Leukemia,1
Chronic Obstructive Airway Disease,2
Chronic Obstructive Pulmonary Disease,24
Chronic Otitis Media,1
Chronic Pancreatitis,11
Chronic Pyelonephritis,1
Chronic Renal Failure,14
Chronic Venous Insufficiency,42
Churg Straus Disease,0
Cicatricial Pemphigoid,0
Circumcorneal Conjunctival Hyperemia,0
Cirrhosis,209
Claudication,81
Cleft Lip,10
Cleft Palate,4
Clonorchiasis,0
Clostridial Intra Abdominal Infections,0
Clostridial Necrotizing Enteritis,0
Clostridial Soft Tissue Infections,0
Clostridium Difficile Induced Diarrhea,0
Clostridium Perfringens Food Poisoning,0
Club Foot (Talipes Equino Varus),0
Cluster Headache,14
Cnidaria,0
Coal Workers Pneumoconiosis,0
Coarctation of The Aorta,100
Cocaine Abuse,8
Cocaine Dependence,1
Cocaine Intoxication,0
Cocaine Withdrawal,0
Coccidioidomycosis,2
Cogans Syndrome,0
Cold,1374
Colic,25
Colon Cancer,138
Colorectal Cancer,12
Coma,1777
Common Variable Immunodeficiency,0
Community Acquired Pneumonia,0
Compartment Syndrome,18
Complex Regional Pain Syndrome,2
Conduct Disorder,2
Condylar Hyperplasia,0
Condylar Hypoplasia,0
Congenital Adrenal Hyperplasia,4
Congenital Cataract,0
Congenital Cytomegalovirus Infection,0
Congenital Erythropoietic Porphyria,0
Congenital Goiter,0
Congenital Hypophosphatasia,0
Congenital Nephrotic Syndromes,0
Congenital Rubella,0
Congenital Syphilis,0
Congenital Toxoplasmosis,0
Congential Muscular Dystrophy,0
Congestive Heart Failure,613
Congestive Hepatopathy,0
Conjugate Gaze Palsies,0
Conjunctivitis,9
Constipation,450
Contact Dermatitis,15
Contact Ulcers,0
Conversion Disorder,1
Copper Deficiency,2
Copper Toxicosis,0
Cor Pulmonale,9
Corneal Abrasions,0
Corneal Ulcer,0
Corns,7
Coronary Heart Disease,176
Corrosive Esophagitis or Esophageal Stricture,0
Cough,1236
Creutzfeldt Jakob Disease,0
Cricopharyngeal Incoordination,0
Crohns Disease,4
Croup,8
Crush Injury,12
Cryptococcosis,0
Cryptosporidiosis,2
Cubital Tunnel Syndrome,1
Cushings Syndrome,12
Cutaneous Abscess,0
Cutaneous Larva Migrans,0
Cutaneous Paraneoplastic Syndromes,0
Cutis Laxa,0
Cyclosporiasis,0
Cyclothymic Disorder,0
Cystic Acne,2
Cystic Fibrosis,23
Cystinuria,7
Cystoceles or Urethroceles,0
Cytomegalovirus Infection,0
Dacryocystitis,0
Dandruff,15
De Quervains Syndrome,0
Decompression Sickness,0
Deep Vein Thrombosis,194
Dehydratase Deficiency,0
Dehydration,701
Delayed Puberty,9
Delirium,16
Delusional Disorder,0
Delusional Parasitosis,0
Dementia,112
Dengue Haemorrhagic Fever,0
Dengue,5
Dependent Personality Disorder,1
Depersonalization Disorder,0
Depression,1055
Dermatitis Herpetiformis,1
Dermatitis,221
Dermatofibroma,1
Dermatomyositis,3
Dermatophytid Reaction,0
Diabetes Insipidus,22
Diabetes Mellitus,348
Diabetes Type 1,23
Diabetes Type 2,248
Diabetic Ketoacidosis,15
Diabetic Nephropathy,9
Diabetic Retinopathy,12
Diaphragmatic Hernia,4
Diarrhoea,6
Diffuse Alveolar Hemorrhage Syndrome,0
DiGeorge Syndrome,0
Digital Flexor Tendinitis,0
Dilated Congestive Cardiomyopathy,0
Diphtheria,23
